# Variance, Lengthscale 1 (S_x), Lengthscale 2 (S_y), Lengthscale 3 (theta)
9.059732846600105369e-04,9.507849054228736350e+03,3.538521858091946193e+00,2.016855992368022488e+00
1.625522333866988214e-03,3.661449506057921099e+04,3.910446065602442104e+04,2.605251982132200883e+00
9.371814712896648844e-04,8.097825364519082541e+03,3.757368739112026290e+00,2.026480715420499568e+00
8.008776754542924021e-04,1.115286813365462513e+04,3.970975626609879239e+00,1.024686341418694857e+00
8.791998418202927237e-04,5.512183156766881439e+03,3.482433598636982985e+00,2.016540333576476218e+00
7.940961872088209226e-04,8.527230010784667684e+03,4.085779742986215268e+00,1.029654284747002269e+00
9.072591720068920148e-04,8.448369514142361368e+03,3.409494227385604592e+00,2.073766420400977584e+00
9.204259460897520027e-04,9.673907761499343906e+03,3.532293704017974711e+00,2.030800143558286308e+00
9.058889621829190443e-04,1.123958738135328167e+04,3.453749841844840685e+00,1.994478863960239323e+00
9.134552778198167140e-04,9.977821823752674391e+03,3.525377352041190626e+00,2.063689684909160604e+00
9.047841136834086639e-04,7.611534620483677827e+03,3.620385498562463944e+00,2.004124458315493129e+00
9.049797703010758381e-04,8.525311754441912854e+03,3.588582819010395220e+00,2.007609662450034360e+00
9.004764592913131957e-04,9.774088372368807541e+03,3.472723239201562784e+00,2.125649919426764178e+00
9.082333302927922923e-04,9.249209045498804699e+03,3.551295592556955594e+00,2.002544749076174302e+00
8.937581565330904483e-04,1.038552906474901465e+04,3.591260243366988902e+00,2.004113705109077603e+00
9.068288473540016747e-04,6.404790720437108575e+03,3.572676052545461722e+00,2.027489612162566068e+00
9.043466728346837924e-04,4.469398190618920125e+03,3.898532865716192397e+00,2.007882853919609190e+00
9.227213984063884367e-04,1.625366040310741664e+04,3.469131005141977919e+00,1.887934727308587135e+00
9.332933208847136270e-04,9.647457759501041437e+03,3.382942481732421403e+00,2.075657351385539862e+00
9.590331940648777519e-04,9.089920642127299288e+03,3.489145723881834638e+00,2.054446260846588768e+00
8.927313499174213338e-04,9.487025641255664596e+03,3.468245713970797173e+00,2.045179952097623488e+00
7.945041950265794347e-04,9.275781804258391276e+03,4.475351415172108993e+00,9.634122103014325367e-01
9.244864719420609230e-04,7.887201721984153664e+03,3.687882810281623680e+00,2.030662101875901460e+00
9.076179526137804956e-04,1.090800299775825442e+04,3.538433042940952067e+00,2.011262677890125694e+00
9.044231319868640488e-04,8.278922408090211320e+03,3.603285267173228057e+00,2.021966701677825107e+00
9.059985709605516057e-04,3.778538942948463045e+03,3.408744073574396349e+00,2.007316546241141531e+00
9.082077924312753972e-04,9.010644741406775211e+03,3.618276252159860817e+00,2.007374562977854104e+00
9.093683669648662884e-04,1.025780830342360787e+04,3.604832821728320980e+00,2.056224997101056218e+00
9.010489251804265154e-04,1.239572852850522759e+04,3.303073479589784256e+00,2.022196022343654143e+00
7.069306601381733285e-04,8.419258750444787438e+03,3.158832949776098076e+00,9.968669273026150579e-01
9.151621751190278575e-04,9.812977426928122441e+03,3.695419081790177973e+00,2.001716106206599122e+00
9.174169826640436688e-04,1.373946036162026394e+04,3.514886574526759677e+00,1.991228099886634073e+00
9.048238100162897405e-04,1.046743050610239698e+04,3.668522919028178286e+00,2.017239459543522795e+00
9.037915341783516517e-04,1.044812567251106884e+04,3.534497171706412200e+00,2.046326919565850666e+00
8.630912456244344954e-04,1.451347677593447472e+01,3.584240559915835345e+00,2.041619107636805985e+00
9.072678095001261234e-04,9.173764094914055022e+03,3.514987158193617400e+00,2.000806192881653178e+00
9.050177597709393442e-04,1.031916864355485632e+04,3.548642349744025370e+00,1.980535082888848386e+00
9.262268997325392777e-04,9.814198834370128679e+03,3.858446641332742733e+00,2.013137919893943639e+00
9.231907768062222680e-04,1.623381507751326353e+03,9.102815257386604344e+02,9.813263759488118909e-01
9.146759446229050638e-04,1.114543877268880533e+04,3.814143815584190911e+00,2.013425220002911686e+00
9.055305786211474001e-04,1.017765393649245198e+04,3.536688960722183861e+00,2.000363240722911051e+00
9.071802499028680912e-04,1.020672835581429899e+04,3.477403514330969614e+00,1.991545646500415989e+00
8.845976574614317469e-04,8.387902694191829141e+03,3.591159733877104632e+00,2.017145652660859323e+00
9.023848693535473737e-04,9.161006949345599423e+03,3.561344682447944887e+00,2.022903529921098453e+00
9.191227482505481914e-04,7.541903199257273627e+03,3.596068183402510776e+00,2.054125775032732637e+00
7.532074895428668426e-04,8.911216067118144565e+03,3.725558163713078574e+00,9.989557757241949165e-01
9.009051899903602716e-04,8.967773279976403501e+03,3.570974613026266287e+00,2.010357454774703623e+00
9.093399310560377168e-04,1.005971723333874797e+04,3.652982611185715545e+00,2.016239173140727203e+00
9.459154136386029423e-04,1.927452539051423486e+01,3.415125652992999417e+00,1.991044726984216418e+00
7.654102590412554651e-04,1.037331737074044759e+04,3.167916731443797929e+00,1.991742814833324493e+00
